REF_DATE,GEO,DGUID,Statistic,Age of reference person,"Household expenditures, summary-level categories",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,4214,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,639,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,740,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,576,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,900,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,727,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,926,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,775,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,737,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531083,1.1.2.42,662,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,81541,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,79424,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,81981,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,85724,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,86506,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,88805,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,94415,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,94907,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Total expenditure,Dollars,81,units,0,v54531084,1.1.3.1,102165,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,8350,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,8266,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,8280,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,8963,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,8416,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,9061,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,10237,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,10365,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Food expenditures,Dollars,81,units,0,v54531086,1.1.3.3,11524,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,19322,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,18473,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,18538,,,,0
